Country,Concept,Unit,Data Source,Status,Scale,2008,2009,2010,2011,2012,2013
Dominican Republic,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,19.945,18.1358333333333,12.1366666666667,15.55,15.4825,13.5914005366949
Dominican Republic,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,10.3475,7.8125,4.85583333333333,7.87416666666667,7.49416666666667,6.01986077793781
Ecuador,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,9.14,9.19,8.68,8.17,8.17,8.17
Ecuador,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.865,4.78,3.9025,3.84416666666667,3.89,3.89
Egypt,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.5,8.5,8.5,9.5,9.5,8.75
Egypt,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.325,11.975,11.00833325,11.0333333333333,12,12.2916666666667
Egypt,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.58333333333333,6.49166666666667,6.23333333166666,6.74166666666667,7.64166666666667,7.68333333333333
El Salvador,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.32,,,,,
Equatorial Guinea,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.75,4.25,4,4,4,3.25
Equatorial Guinea,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.75,3.25,3.25,3.25,3.25,3.20833333333333
Estonia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.6638915,5.926002,1.57087358333333,,,
Estonia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8.54863067263329,9.38577189459013,7.76017776480886,6.11703270018201,5.74707531648199,5.36448310604121
Estonia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,5.71819153824076,4.81886704944628,1.10602654998043,1.26758919526746,0.674082106188427,0.416999224327882
Ethiopia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,8,,,,,
Ethiopia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.67519307126727,,,,,
Euro Area,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3,1.75,1.75,1.75,1.5,0.75
Euro Area,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.7825,0.695,0.4812789855,0.815993537615449,0.0639849687349688,0.0455
Fiji,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,6.32,3.5,3,1,1,1
Fiji,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,1.24708333333333,1.31333333333333,1,,,
Fiji,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,7.99726954431674,7.85341601530875,7.48964734611671,7.46605819217571,6.96805287835016,6.10473363960249
Fiji,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,2.75358333333333,4.91284765044668,5.41482502809286,3.74650410823685,2.42016516876818,2.06990899613906
Finland,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.63423268117593,1.22834974982747,0.810876824926281,1.39079215681661,0.573185263876983,0.220751638277182
France,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.66666666666667,1.91666666666667,1.45833333333333,2.08333333333333,2.25,
Gabon,"Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,4.75,4.25,4,4,4,3.25
Gabon,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.75,3.25,3.25,3.25,3.25,3.20833333333333
"Gambia, The","Interest Rates, Discount Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,,,,,10.95,18.54
"Gambia, The","Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,27,27,27,28,28,28
"Gambia, The","Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,12.8666666666667,15.5,14.625,11.75,11.5,13.4358333333333
Georgia,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,14.771,5.550135311256,5.4545853289902,7.63509528243867,5.58595067176969,3.94193932260884
Georgia,"Interest Rates, Lending Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,18.0441333333333,17.8663166666667,15.845075,14.9951666666667,14.80845,13.5948916043986
Georgia,"Interest Rates, Deposit Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,11.239273920341,10.8103234445944,10.0621515523871,11.5377973597106,10.7055201238594,9.72661726858262
Germany,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,3.81833333333333,0.625833333333333,0.383333333333333,0.809166666666666,0.255,
Ghana,"Interest Rates, Money Market Rate",Percent per Annum,International Financial Statistics (IFS),Published,Units,15.6433333333333,21.5008333333333,,10.7066666666667,14.4825,17.5666666666667
