"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Central Europe and the Baltics","CEB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe and Central Asia (IFC classification)","CEU","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.993397328","2.033582607","2.030485113","2.029339388","2.010573738","1.984020391","1.940353555","1.895384596","1.878406654","1.87220502","1.849228385","1.837963068","1.771117807","1.775749419","1.754754858","1.742756069","1.656833486","1.602247989","1.548663693","1.512963809","1.509210047","1.441417214","1.419331263","1.389831003",
"Channel Islands","CHI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165.9689622","194.7089106","212.7763947","229.9432932","253.5206674","271.4940578","271.1748089","276.3831608","277.0430814","280.2301062","286.4355902","291.7265672","298.5718723","307.263704","321.411874","333.69","326.7896891","330.1112121","346.1919881","357.7397682","354.9482728","348.0168471","352.617093067","355.406546235",
"China","CHN","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.63370591954722","1.7766309175577","1.96656901219388","2.2066568805234","2.58614924488701","2.82572615793444","2.92899687729769","2.90446712499113","2.80962116120337","2.72937655501696","2.74351629161385","2.73711834765523","2.71188889368526","2.72756201127837","2.83869439364421","2.85830491470987","2.87863245076886","3.01838130763545","3.19039746616089","3.14683445275569","3.31560957619271","3.50553600718135","3.51404153015108","3.52058203297174",
"Cote d'Ivoire","CIV","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.106983791054","117.986139138771","115.328044382902","119.579804491873","171.399442204323","186.439326689405","192.219147869819","196.956672491922","205.011819639643","203.979121990033","198.690799145031","202.491316542073","209.544672079118","208.115725719296","203.833379506234","205.847168230671","208.692546775347","208.811573700857","221.444915551491","220.003706710931","221.571950345892","228.228480037503","227.215521257165","249.522664221277",
"Latin America and the Caribbean (IFC classification)","CLA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Middle East and North Africa (IFC classification)","CME","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162.060253990059","162.440724833071","156.789792205043","177.799579992218","199.133611902119","213.565100567413","215.381448482438","219.673330329009","225.274595490925","226.430520638346","227.687758584261","227.4370640068","231.270108672197","227.550936391786","224.819510904487","223.564395929031","225.44563801569","222.760267550042","228.85829214711","219.528064476434","223.4096032575","227.211655608777","239.911836061761","239.725976094207",
"Congo, Rep.","COG","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.7745564984107","89.4121301301437","86.0467810021787","83.0962213269931","111.267773917911","112.695529195461","130.58664467274","134.763886399447","109.024439773654","139.043230606576","199.906977339598","168.215483749383","162.788844346929","152.814001887442","173.735324988383","204.241296620392","234.846037176989","231.342517426901","283.700075066118","223.460691209524","266.53989910018","289.298994205721","281.001597638701","267.105925900231",
"Colombia","COL","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120.954871806566","147.717042725921","176.523087893681","220.617304723273","313.998464710487","365.564533589638","419.566559971431","481.974562723489","547.240651588455","607.640668327209","782.84759899302","815.199848751516","850.779037287905","891.07180387387","930.462708618593","951.650374094161","976.587502598731","999.28529662941","1054.19478680307","1081.7943508422","1110.07404370824","1161.90989451483","1178.14692976525","1182.16635338292",
"Comoros","COM","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","141.010117615646","147.551585582452","134.502938393484","135.098346862283","144.739077628881","153.578796286951","155.649212041312","154.444663197704","154.844398107043","161.536482737756","163.359571241078","173.484088221083","177.984569686376","183.440070061245","181.707148253263","180.10916945883","178.232086086141","182.623675788759","188.987078050065","196.095165337835","202.18213661817","207.584476413723","209.301269248978","212.600123374482",
"Cabo Verde","CPV","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.5734098353424","59.4046161014069","55.689653331357","81.2413957580316","56.3418803410344","54.3368653483406","53.070848980679","51.7422636773699","51.0150253076129","54.1253531828111","48.7413476898356","50.1061322182958","49.1685933137174","50.5774949645459","46.1106508642349","43.8757500905577","44.5422002774013","47.1879623038521","47.9250092783192","48.5931710660063","48.2544444550192","48.5916789257967","48.0664968257352","48.9985487242656",
"Costa Rica","CRI","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.3461036452034","56.5827954953644","66.6516945659201","72.0185152977045","81.4816437354032","97.5299760179854","110.911914317145","125.288277300374","138.972735106897","157.532518845776","164.778710613899","174.942175196037","188.115197447519","199.7144832084","217.412147286316","233.034872507403","250.95288549174","267.405727825758","294.79827858984","317.062518205757","338.209669611985","346.738297858882","354.713153334268","366.908709601496",
"South Asia (IFC classification)","CSA","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Caribbean small states","CSS","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.23182130381117","0.207783551520385","0.210760311442976","0.244924422299075","0.302848530245652","0.327835257370281","0.313352933699065","0.303914368353998","0.304568903789928","0.311655534620029","0.310024522667329","0.304478295658073","0.313442502218372","0.316446852205955","0.309864978030362","0.301380381107566","0.322693068466911","0.325637156196491","0.318298998211328","0.317871227632703","0.317859523905833","0.321938711455632","","",
"Curacao","CUW","PPP conversion factor, GDP (LCU per international $)","PA.NUS.PPP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.29218162550183","","",
